Date,Currency,Exchange Rate,Normalized Price
2020-02-09,XAU,284555.3473,0.11427372775127168
2020-02-10,XAU,284811.4399,0.11457642640965496
2020-02-11,XAU,284588.0117,0.11431233671559507
2020-02-12,XAU,284378.4915,0.11406468612575302
2020-02-13,XAU,284898.0125,0.11467875427806176
2020-02-14,XAU,285943.6003,0.11591462764684293
2020-02-15,XAU,286353.9296,0.11639963240139398
2020-02-16,XAU,286764.2589,0.11688463715594513
2020-02-17,XAU,287174.5882,0.11736964191049623
2020-02-18,XAU,287971.2794,0.118311322214362
2020-02-19,XAU,290861.2731,0.1217272632283786
2020-02-20,XAU,292809.6616,0.12403023717202019
2020-02-21,XAU,295166.31095,0.12681577098488653
2020-02-22,XAU,297522.96030000004,0.1296013047977528
2020-02-23,XAU,299879.60965,0.1323868386106191
2020-02-24,XAU,302236.259,0.13517237242348543
2020-02-25,XAU,301022.2439,0.13373741982420276
2020-02-26,XAU,298398.433,0.130636103974852
2020-02-27,XAU,299901.6466,0.13241288604502313
2020-02-28,XAU,298653.6141,0.13093772525018274
2020-02-29,XAU,295934.69556666666,0.12772399321617064
2020-03-01,XAU,293215.7770333333,0.1245102611821585
2020-03-02,XAU,290496.8585,0.12129652914814634
2020-03-03,XAU,290980.7063,0.12186843196736766
2020-03-04,XAU,299513.113,0.1319536435700089
2020-03-05,XAU,298366.9877,0.13059893597342417
2020-03-06,XAU,303817.3542,0.13704120969491088
2020-03-07,XAU,303728.62450000003,0.1369363321578452
2020-03-08,XAU,303639.8948,0.13683145462077947
2020-03-09,XAU,303551.1651,0.13672657708371375
2020-03-10,XAU,303462.4354,0.13662169954664807
2020-03-11,XAU,302242.1927,0.13517938599212917
2020-03-12,XAU,298560.0232,0.13082710182776883
2020-03-13,XAU,285704.252,0.11563172056832396
2020-03-14,XAU,282693.536325,0.11207308749733311
2020-03-15,XAU,279682.82065,0.1085144544263423
2020-03-16,XAU,276672.10497499997,0.10495582135535139
2020-03-17,XAU,273661.3893,0.10139718828436053
2020-03-18,XAU,283550.185,0.11308563688231463
2020-03-19,XAU,274185.2433,0.10201637799538191
2020-03-20,XAU,277304.5254,0.10570333539590424
2020-03-21,XAU,278003.16359999997,0.10652911812385232
2020-03-22,XAU,278701.8018,0.10735490085180047
2020-03-23,XAU,279400.44,0.1081806835797485
2020-03-24,XAU,294505.8325,0.12603509266498944
2020-03-25,XAU,305811.0148,0.1393976947666842
2020-03-26,XAU,303239.9968,0.13635877954898842
2020-03-27,XAU,307664.4158,0.1415883945219534
2020-03-28,XAU,307824.34033333336,0.14177742357504816
2020-03-29,XAU,307984.26486666664,0.14196645262814286
2020-03-30,XAU,308144.1894,0.14215548168123762
2020-03-31,XAU,305139.7458,0.13860426213444768
2020-04-01,XAU,300778.3204,0.13344910490921438
2020-04-02,XAU,301405.436,0.13419034870451038
2020-04-03,XAU,307930.2,0.1419025485457693
2020-04-04,XAU,310451.71773333335,0.14488295498847661
2020-04-05,XAU,312973.23546666664,0.14786336143118387
2020-04-06,XAU,315494.7532,0.15084376787389117
2020-04-07,XAU,321371.62685,0.15779016839207524
2020-04-08,XAU,327248.5005,0.16473656891025926
2020-04-09,XAU,329178.2171,0.167017472871873
2020-04-10,XAU,329676.4073166667,0.16760632827107105
2020-04-11,XAU,330174.59753333335,0.16819518367026917
2020-04-12,XAU,330672.78775,0.1687840390694673
2020-04-13,XAU,331170.9779666667,0.1693728944686654
2020-04-14,XAU,331669.16818333336,0.16996174986786347
2020-04-15,XAU,332167.3584,0.1705506052670616
2020-04-16,XAU,328801.8126,0.1665725668606902
2020-04-17,XAU,329432.4437,0.1673179659386205
2020-04-18,XAU,327025.19433333335,0.1644726234582676
2020-04-19,XAU,324617.94496666663,0.1616272809779147
2020-04-20,XAU,322210.6956,0.1587819384975618
2020-04-21,XAU,329374.9588,0.16725001941417075
2020-04-22,XAU,325064.731,0.16215537719340242
2020-04-23,XAU,329659.075,0.16758584166192395
2020-04-24,XAU,330819.2064,0.1689571043158559
2020-04-25,XAU,330771.168,0.1689003234513136
2020-04-26,XAU,330723.12960000004,0.16884354258677134
2020-04-27,XAU,330675.0912,0.16878676172222903
2020-04-28,XAU,327834.276,0.16542894915851244
2020-04-29,XAU,329852.17,0.16781407784461924
2020-04-30,XAU,329935.1758,0.16791218979435166
2020-05-01,XAU,328937.96395,0.16673349627052894
2020-05-02,XAU,327940.75210000004,0.16555480274670628
2020-05-03,XAU,326943.54025,0.16437610922288357
2020-05-04,XAU,325946.3284,0.16319741569906085
2020-05-05,XAU,323078.4631,0.15980763021235025
2020-05-06,XAU,321908.6417,0.15842491408416823
2020-05-07,XAU,321885.76748,0.15839787700576155
2020-05-08,XAU,321862.89326,0.15837083992735493
2020-05-09,XAU,321840.01904,0.15834380284894825
2020-05-10,XAU,321817.14482,0.15831676577054163
2020-05-11,XAU,321794.2706,0.15828972869213495
2020-05-12,XAU,319192.083,0.15521397134740253
2020-05-13,XAU,320922.0112,0.15725872760056805
2020-05-14,XAU,322608.121,0.1592516909831371
2020-05-15,XAU,325797.69,0.1630217267323971
2020-05-16,XAU,327575.28873333335,0.16512282903571954
2020-05-17,XAU,329352.88746666664,0.16722393133904193
2020-05-18,XAU,331130.4862,0.16932503364236437
2020-05-19,XAU,326418.3713,0.16375536525531256
2020-05-20,XAU,328111.1902,0.16575625872086322
2020-05-21,XAU,326725.3439,0.1641182035184269
2020-05-22,XAU,322631.8753,0.15927976830649923
2020-05-23,XAU,322348.7366,0.1589451014530783
2020-05-24,XAU,322065.5979,0.15861043459965732
2020-05-25,XAU,321782.4592,0.1582757677462364
2020-05-26,XAU,321499.3205,0.1579411008928154
2020-05-27,XAU,318387.987,0.15426353865074768
2020-05-28,XAU,319135.9529,0.15514762618176745
2020-05-29,XAU,320437.612,0.1566861730325644
2020-05-30,XAU,321551.3628333334,0.15800261436286164
2020-05-31,XAU,322665.1136666667,0.15931905569315877
2020-06-01,XAU,323778.8645,0.160635497023456
2020-06-02,XAU,323771.5192,0.16062681495901746
2020-06-03,XAU,320945.1601,0.157286089347737
2020-06-04,XAU,316738.3751,0.15231371538766583
2020-06-05,XAU,315802.703225,0.15120776144268858
2020-06-06,XAU,314867.03135,0.15010180749771138
2020-06-07,XAU,313931.359475,0.14899585355273412
2020-06-08,XAU,312995.6876,0.14788989960775692
2020-06-09,XAU,314088.2911,0.14918134502084138
2020-06-10,XAU,317878.5953,0.15366144322049471
2020-06-11,XAU,320732.4801,0.1570347039087788
